Stop_ID,Stop_name,Stop_lat,Stop_long,2018-19,2019-20,2020-21
955,47-Cabrini Hospital,-37.863152,145.033855,4650,9150,2450
18468,47-Caulfield Junior College,-37.872147,145.021158,34800,15050,12850
18609,47-Commercial/Chapel,-37.846973,144.994031,137350,75450,21750
4199,47-David/Plenty,-37.74321,145.00796,6750,42200,3950
4508,47-David/Plenty,-37.7429,145.0084,33250,6150,#N/A
16750,47-Dixon/High,-37.857698,145.038017,6450,15500,4100
16764,47-Dixon/High,-37.857822,145.038012,36550,19900,14750
18641,47-Elmhurst/Balaclava,-37.872302,145.021179,34500,47200,25100
19104,47-Malvern/Chapel,-37.846697,144.994258,88750,78500,28800
19470,47-Mt Alexander/Keilor,-37.743949,144.908946,68650,53100,13950
19663,47-Mt Alexander/Keilor,-37.744144,144.909077,20850,7850,15000
18360,47-North Balwyn Shopping Centre,-37.792707,145.071435,11550,24250,2800
18570,47-North Balwyn Shopping Centre,-37.79271,145.070861,106200,44150,36800
21073,47-Orange/Camberwell,-37.84115,145.06781,5250,3550,8200
18375,47-Shoobra/Glenhuntly,-37.88539,145.00911,32000,25800,8800
18984,47-Shoobra/Glenhuntly,-37.88527,145.00913,34450,29550,13850
18950,47-Tooronga/Malvern,-37.85313,145.04199,13550,7800,6000
19059,47-Tooronga/Malvern,-37.85331,145.04227,53500,51300,38300
4484,47-West Preston,-37.729183,144.991589,241200,159550,55850
19435,47-Willow/Riversdale,-37.833106,145.072399,7250,18750,1650
19765,47-Willow/Riversdale,-37.833272,145.07267,34750,5150,4900
18432,48A-Dandenong/Hawthorn,-37.86599,145.025979,36700,19200,6900
18736,48-Balwyn Shopping Centre,-37.813197,145.083793,79800,15200,21900
19410,48-Balwyn Shopping Centre,-37.81306,145.083619,58200,27150,30250
18608,48-Cliff/Chapel,-37.843832,144.994654,28500,12850,15850
19434,48-Cooloongatta/Riversdale,-37.833653,145.077099,19250,7650,9950
19766,48-Cooloongatta/Riversdale,-37.833795,145.077245,19550,19900,4000
7354,48-Dixon/Wattletree,-37.863394,145.036632,28750,29400,12200
968,48-Dixon/Wattletree,-37.863573,145.037087,1850,800,650
18951,48-Edgar/Malvern,-37.85356,145.04556,13000,8450,2250
19058,48-Edgar/Malvern,-37.85373,145.04583,38950,20100,12150
21075,48-Glen Iris/Camberwell,-37.8423,145.06912,71150,13400,9350
20524,48-Glenferrie/Dandenong,-37.866055,145.027813,4300,#N/A,5500
4198,48-Gower/Plenty,-37.74115,145.00959,31050,28150,5300
4507,48-Gower/Plenty,-37.74077,145.01009,96200,7050,7850
19019,48-Hawthorn/Dandenong,-37.86543,145.02584,32000,6400,8500
20523,48-Hawthorn/Dandenong,-37.865812,145.026465,3250,2800,2500
21074,48-Orrong/Camberwell,-37.84212,145.06912,2400,6750,#N/A
18569,48-Osburn/Doncaster,-37.793414,145.074565,29450,46050,14700
18376,48-Parkside/Glenhuntly,-37.88576,145.01224,53150,8800,13200
18985,48-Parkside/Glenhuntly,-37.88565,145.01227,9050,19700,9650
17918,48-Raleigh/Wests,-37.769641,144.882816,3950,7850,2000
19471,48-Service/Keilor,-37.742687,144.905772,87400,27300,13700
19664,48-Service/Keilor,-37.74282,144.905696,10000,14700,#N/A
16751,48-Tooronga/High,-37.858077,145.041048,11250,#N/A,6350
16762,48-Tooronga/High,-37.858274,145.041356,50750,13750,5950
22320,48-Wests/Cordite,-37.769367,144.882517,37500,23500,12800
18491,48-Wests/Raleigh,-37.7694,144.883319,11100,38850,16350
